id,aliaskuerzel,aliasname,institutskuerzel
133,187,innovativetechno,Innovative Technologien, Forschungsgruppe,betwinnovativ
134,188,allgbwlmarketing,Allgemeine Betriebswirtschaftslehre, Marketing and Marktforschung,marktforschg
135,189,careerservicesua,Career Service - Studierende & Arbeitswelt,studentarbeitswelt
136,190,voelkerk,Völkerkunde,ethnologie
137,191,nordphil,Nordische Philologie,skandinavistik
138,192,hoersaele,Hörsäle,zzhoersaele
139,193,arbeitsozialrecht,Arbeits- und Sozialrecht,deutscheurosozialrecht
140,194,europgesellschaftsrecht,Europäisches Gesellschaftsrecht,buergrhandel
141,198,paediatrischenephrologie,Pädiatrische Nephrologie, Immunologie und Hypertensiologie,kindernephro
142,199,experimentellewirtschaft,Experimentelle Wirtschaftsforschung,koelnlabwifo
143,200,fennistik,Fennistik,skandinavistik
144,201,strafrechtsvergleichung,Strafrechtsvergleichung (ISV),strafrecht2
145,202,combinatorialoptimization,Combinatorial Optimization in Physics (Arbeitsgruppe),emmynoether
146,203,paedagogikgehoerlose,Pädagogik der Gehörlosen und Schwerhörigen,didaktikgehoerlose
147,204,heilppsycho2,Heilpädagogische Psychologie (Prof. Nußbeck),psychohpf2
148,205,hoersprachpaed,Hörgeschädigtenpädagogik,paedhoergeschaedigt
149,206,sprachgestpaed,Sprech- und Sprachgestörtenpädagogik,paedsprachstoerungen
150,207,lernbehpaed,Lernbehindertenpädagogik,sondererziehunglernbehindert
151,208,sozialearbeiterziehung,Soziale Arbeit und Erziehungshilfe,erziehungshilfesozarbeit
152,209,geistigbehpaed,Geistigbehindertenpädagogik,paedagogikdidaktikgeistigbeh
153,210,heilpmusik,Heilpädagogische Musikerziehung,musikerzhp
154,211,heilpkunst,Heilpädagogische Kunsterziehung/ -therapie,kunsterzhp
155,212,exzellenzcluster,Exzellenzcluster (CECAD),cellularstress
156,213,forist,Forschungsstelle für interkulturelle Studien,interkultur
157,214,forges,Forschungsstelle für Gesundheitserziehung,gesunderz
158,216,mathenaturbildung,Mathematische und naturwissenschaftliche Bildung,zentrummathebildung
159,217,campusgruen,Campusgrün,gruenehsg
160,218,centeragingstudies,Center for Aging Studies (CEFAS),centrumalternstudien
161,219,markenmanagement,Marketing und Markenmanagement,allgbwlmarkenmanagement
162,221,empsozialforschung,Empirische Sozialforschung (Zentralarchiv),zentralarchivemp
163,222,managementgesundheitswesen,Management im Gesundheitswesen,allgbwlgesundheit
164,223,unternehmensfinanzen,Unternehmensfinanzen,allgbwlcf
165,224,schreibzentrumphilfak,Schreibzentrum (Phil.Fak.),kompetenzzentrumschreiben
166,225,koerperbehpaed,Körperbehindertenpädagogik,paedagogikmenschenbeeintr
167,226,zentrumnetzwerkmedien,Zentrum Netzwerk Medien,netzwerkmedien
168,227,kinderjpsychotherapie,Kinder- und Jugendlichenpsychotherapie,ausbildungszentrumkjp
169,228,sprachrehabilitation,Sprachrehabilitation (Forschungsinstitut und Beratungsstelle),forschsprachrehabilitation
170,231,zentrumquartaerforschung,Zentrum für Quartärforschung und Geoarchäologie,centerqsga
171,232,sozialrecht,Sozialrecht,deutscheurosozialrecht
172,235,lehrbereichdeutsch,Lehrbereich Deutsch als Fremdsprache,deutschalsfremdsprache
173,236,wohnheime,Wohnheime,studentheim
174,237,fortbildung,Fortbildung und Zusatzqualifizierung,weiterbildg
175,238,socrates,Socrates (Büro für Internationale Beziehungen, Med. Fak.),zentrumintbezmed
176,239,ausbildungsfoerderung,Ausbildungsförderung,bafoeg
177,241,hoersaelemed,Hörsäle (Medizinische Fakultät),zzmhoersaele
178,246,internationaleskollegmorphomat,Internationales Kolleg Morphomata,morphomata
179,247,audiopaedagogik,Audiopädagogik,didaktikgehoerlose
180,248,evaluationuni,Evaluation der Lehre ,lehrevaluation
181,249,theologiekath,Theologie, Katholische,katholtheol
182,250,sprachentwicklung,Sprachentwicklung und Sprachdidaktik (Forschungsstelle),forschungsprachentwicklung
183,253,oekonometrie,Ökonometrie,wisostat
184,255,ilias,Ilias-Team,elearning
185,256,understandingapriori,Understanding and the Apriori (Emmy Noether Arbeitsgruppe),emmynoetherphil
186,257,studiensozial,Studien- und Sozialangelegenheiten der Studierenden,besonderestudien
187,258,rechtstheorie,Rechtstheorie,buergrrechtstheorie
188,259,sprachwiss,Sprachwissenschaft,allgsprachwiss
189,260,wirtschaftlichestaatswiss,Wirtschaftliche Staatswissenschaften,centermacroeconomic
190,261,oeffrechtkirchenrecht,Öffentliches Recht und Kirchenrecht,kirchenrecht
191,262,macroeconomicresearch,Macro Economic Research Center,centermacroeconomic
192,263,zentralereinkauf,Zentraler Einkauf,verwuni33
193,265,ehumanities,eHumanities (Center),colognecenterehumanities
194,267,lateinamerikakompetenznetz,Lateinamerika (Kompetenznetz),kompetenznetzlateinamerika
195,268,makrooekonomikarbeitsmarkt,Makroökonomik und Arbeitsmarktökonomik,staatswiss4
196,270,verfassungsrecht,Verfassungsrecht, Völkerrecht und Rechtsvergleichung,ostrecht
197,272,frankreichstudien,Frankreich- und Frankophoniestudien (Interdisziplinäres Institut),centruminterfrankreich
198,274,rechenzentrum,Rechenzentrum (RRZK),regionalesrechenzentrum
199,275,theatreuniversitaire,Théâtre universitaire francophone de Cologne,projetsprojecteurs
200,276,skillslab,Skillslab und Simulationszentrum (KISS),kiss
201,277,inetcampusgroup,INET Campus Group Cologne,studytour
202,278,pim,PIM & CEMS Club,cems
